user_id,interactions,labels
User_686,PYTHON2025ENG:1.0:0.76;GIT2025ENG:0.47:0.86;PYTHONDATASCIENCE2025ENGLISH:0.66:0.96;GIT2025HINDI:0.71:0.49;NODEJS2025HINDI:0.81:0.38;DEVOPS2025HINDI:0.22:0.73;UIUXHINDI:0.5:0.86,DATA SCIENCE
User_110,PYTHON2025HINDI:0.71:0.23,"DESIGN,LANGUAGES,MOBILE"
User_197,GIT2025HINDI:0.56:0.98;PYTHON2025ENG:0.68:0.11;REACT2025HINDI:0.63:0.57;DEVOPS2025HINDI:0.58:0.41;PYTHONDATASCIENCE2025ENGLISH:0.36:0.78;UIUXHINDI:0.09:0.37;NODEJS2025HINDI:0.04:0.21,"AI/ML,PROGRAMMING"
User_445,AIML2025ENG:0.65:0.66;REACT2025HINDI:0.01:0.35;GIT2025HINDI:0.99:0.82;PYTHON2025HINDI:0.36:0.47;FLUTTER2025EN:0.51:0.37;DEVOPS2025HINDI:0.54:0.49;PYTHONDATASCIENCE2025ENGLISH:0.38:0.67,"DEVELOPMENT,DESIGN,GIT AND GITHUB"
User_195,DEVOPS2025HINDI:0.55:0.24;FLUTTER2025EN:0.96:0.63,"AI/ML,DEVOPS"
User_50,GIT2025ENG:0.13:0.45,"PROGRAMMING,GIT AND GITHUB,DEVELOPMENT"
User_590,GIT2025ENG:0.36:0.31;NODEJS2025HINDI:0.42:0.39;GIT2025HINDI:0.45:0.92;AIML2025ENG:0.73:0.27;PYTHON2025ENG:0.91:0.86;REACT2025HINDI:0.18:0.14;UIUXHINDI:0.07:0.67;FLUTTER2025EN:0.99:0.26;PYTHON2025HINDI:0.4:0.66;DEVOPS2025HINDI:0.17:0.05,DATA SCIENCE
User_779,FLUTTER2025EN:0.96:0.12,DATA SCIENCE
User_35,GIT2025ENG:0.71:0.0;REACT2025HINDI:0.59:0.79;UIUXHINDI:0.1:0.29;AIML2025ENG:0.94:0.61,"DESIGN,DEVOPS"
User_423,PYTHON2025HINDI:0.0:0.88;REACT2025HINDI:0.29:0.22;NODEJS2025HINDI:0.19:0.13;PYTHONDATASCIENCE2025ENGLISH:0.86:0.47;AIML2025ENG:0.27:0.66;UIUXHINDI:0.85:0.38;GIT2025ENG:0.97:0.83;GIT2025HINDI:0.57:0.63;FLUTTER2025EN:0.35:0.42,"DATA SCIENCE,LANGUAGES"
User_626,GIT2025HINDI:0.58:0.88,"PROGRAMMING,AI/ML,LANGUAGES"
User_640,DEVOPS2025HINDI:0.29:0.66;UIUXHINDI:0.41:0.78;GIT2025ENG:0.04:0.91,"LANGUAGES,MOBILE,DEVOPS"
User_281,UIUXHINDI:0.73:0.82;FLUTTER2025EN:0.0:0.93;PYTHONDATASCIENCE2025ENGLISH:0.47:0.68;DEVOPS2025HINDI:0.25:0.51;GIT2025ENG:0.27:0.59,"DEVOPS,DATA SCIENCE"
User_36,NODEJS2025HINDI:0.39:0.51;PYTHONDATASCIENCE2025ENGLISH:0.03:0.29;AIML2025ENG:0.39:0.86;GIT2025ENG:0.1:0.87;PYTHON2025ENG:0.76:0.79,"LANGUAGES,MOBILE"
User_160,AIML2025ENG:0.16:0.71;UIUXHINDI:0.11:0.94;PYTHON2025ENG:0.34:0.88;GIT2025HINDI:0.59:0.49;PYTHONDATASCIENCE2025ENGLISH:0.99:0.87;PYTHON2025HINDI:0.99:0.05,DEVOPS
User_27,FLUTTER2025EN:0.53:0.53;UIUXHINDI:0.78:0.95;PYTHON2025HINDI:0.35:0.85,"AI/ML,MOBILE"
User_148,AIML2025ENG:0.78:0.14;UIUXHINDI:0.53:0.05;REACT2025HINDI:0.66:0.49;PYTHON2025HINDI:0.2:0.75;DEVOPS2025HINDI:0.69:0.22;PYTHONDATASCIENCE2025ENGLISH:0.6:0.96,"GIT AND GITHUB,DEVELOPMENT,MOBILE"
User_266,PYTHONDATASCIENCE2025ENGLISH:0.62:0.59;FLUTTER2025EN:0.43:0.49,"DEVELOPMENT,DESIGN"
User_54,PYTHONDATASCIENCE2025ENGLISH:0.38:0.83;DEVOPS2025HINDI:0.8:0.74;GIT2025ENG:0.19:0.38;NODEJS2025HINDI:0.91:0.1,"PROGRAMMING,AI/ML,LANGUAGES"
User_569,REACT2025HINDI:0.23:0.76;DEVOPS2025HINDI:0.01:0.73;PYTHONDATASCIENCE2025ENGLISH:0.92:0.96;GIT2025ENG:0.52:0.49;PYTHON2025ENG:0.27:0.33;FLUTTER2025EN:0.3:0.09;NODEJS2025HINDI:0.33:0.23,"DEVOPS,MOBILE,LANGUAGES"
User_52,PYTHON2025ENG:0.67:0.97;FLUTTER2025EN:0.3:0.05;GIT2025ENG:0.99:0.84;DEVOPS2025HINDI:0.75:0.25,"PROGRAMMING,GIT AND GITHUB,DEVOPS"
User_329,GIT2025HINDI:0.91:0.55;PYTHON2025HINDI:0.24:0.25;PYTHON2025ENG:0.63:0.62;UIUXHINDI:0.42:0.88,"GIT AND GITHUB,DEVOPS,LANGUAGES"
User_198,FLUTTER2025EN:0.06:0.39,DEVOPS
User_210,REACT2025HINDI:0.87:0.72;AIML2025ENG:0.88:0.37;DEVOPS2025HINDI:0.51:1.0;GIT2025HINDI:0.61:0.71;UIUXHINDI:0.76:0.81;PYTHONDATASCIENCE2025ENGLISH:0.67:0.45;GIT2025ENG:0.34:0.09,"DATA SCIENCE,PROGRAMMING"
User_478,FLUTTER2025EN:0.7:0.55;PYTHONDATASCIENCE2025ENGLISH:0.09:0.9;UIUXHINDI:0.1:0.18,DATA SCIENCE
User_623,UIUXHINDI:0.24:0.07;GIT2025ENG:0.29:0.42;AIML2025ENG:0.65:0.97;REACT2025HINDI:0.65:0.11,PROGRAMMING
User_232,PYTHON2025HINDI:0.42:0.7;NODEJS2025HINDI:0.65:0.75;DEVOPS2025HINDI:0.46:0.78;PYTHONDATASCIENCE2025ENGLISH:0.56:0.3;PYTHON2025ENG:0.84:0.5;AIML2025ENG:0.74:0.07;GIT2025HINDI:0.72:0.21,DATA SCIENCE
User_791,GIT2025HINDI:0.28:0.32;REACT2025HINDI:0.33:0.29;PYTHONDATASCIENCE2025ENGLISH:0.25:0.66;GIT2025ENG:0.79:0.47;PYTHON2025ENG:0.55:0.08;UIUXHINDI:0.88:0.29;DEVOPS2025HINDI:0.58:0.58;NODEJS2025HINDI:0.74:0.12;AIML2025ENG:0.92:0.45,DEVELOPMENT
User_484,UIUXHINDI:0.72:0.76;FLUTTER2025EN:0.67:0.87;DEVOPS2025HINDI:0.84:0.8;REACT2025HINDI:0.27:0.09;PYTHONDATASCIENCE2025ENGLISH:0.49:0.24;AIML2025ENG:0.53:0.95;PYTHON2025HINDI:0.55:0.4;NODEJS2025HINDI:0.48:0.84,PROGRAMMING
User_807,NODEJS2025HINDI:0.91:0.63,"LANGUAGES,PROGRAMMING"
User_382,PYTHON2025HINDI:0.72:0.98,"MOBILE,PROGRAMMING,LANGUAGES"
User_22,REACT2025HINDI:0.1:0.85;PYTHON2025HINDI:0.69:0.98;NODEJS2025HINDI:0.39:0.33,"GIT AND GITHUB,DEVELOPMENT"
User_156,REACT2025HINDI:0.8:0.65;PYTHON2025ENG:0.46:0.48;PYTHONDATASCIENCE2025ENGLISH:0.32:1.0;FLUTTER2025EN:0.58:0.83;UIUXHINDI:0.35:0.42;PYTHON2025HINDI:0.84:0.32,"DEVELOPMENT,AI/ML"
User_840,GIT2025ENG:0.32:0.33;UIUXHINDI:0.34:0.58;GIT2025HINDI:0.07:0.54;FLUTTER2025EN:0.1:0.73;NODEJS2025HINDI:0.36:0.25;PYTHON2025ENG:0.23:0.03;DEVOPS2025HINDI:0.9:0.04;REACT2025HINDI:0.16:0.95,"DESIGN,MOBILE"
User_593,UIUXHINDI:0.77:0.77;PYTHON2025HINDI:0.33:0.07;DEVOPS2025HINDI:0.62:0.06;GIT2025ENG:0.7:0.13;NODEJS2025HINDI:0.13:0.07;FLUTTER2025EN:0.24:0.16;AIML2025ENG:0.98:0.82;REACT2025HINDI:0.74:0.69,"DESIGN,DATA SCIENCE,DEVOPS"
User_837,PYTHON2025HINDI:0.56:0.97;REACT2025HINDI:0.01:0.78;GIT2025HINDI:0.96:0.03;GIT2025ENG:0.74:0.88;FLUTTER2025EN:0.51:0.5;NODEJS2025HINDI:0.61:0.47;PYTHON2025ENG:0.88:0.33;PYTHONDATASCIENCE2025ENGLISH:0.29:0.98;DEVOPS2025HINDI:0.23:0.61,"DATA SCIENCE,MOBILE,LANGUAGES"
User_146,REACT2025HINDI:0.87:0.21;AIML2025ENG:0.88:0.62;DEVOPS2025HINDI:0.54:0.86;PYTHONDATASCIENCE2025ENGLISH:0.26:0.41;FLUTTER2025EN:0.07:0.89;NODEJS2025HINDI:0.02:0.3;GIT2025HINDI:0.61:0.8,DEVOPS
User_994,AIML2025ENG:0.26:0.7;PYTHON2025ENG:0.49:0.78;PYTHON2025HINDI:0.19:0.52;GIT2025HINDI:0.04:0.03;UIUXHINDI:0.35:0.77;DEVOPS2025HINDI:0.63:0.22;REACT2025HINDI:0.31:0.77;NODEJS2025HINDI:0.2:0.52,"DEVELOPMENT,PROGRAMMING"
User_325,,DEVOPS
User_338,PYTHON2025ENG:0.93:0.05;GIT2025ENG:0.15:0.58;FLUTTER2025EN:0.05:0.61;PYTHON2025HINDI:0.03:0.03;UIUXHINDI:0.19:0.24;PYTHONDATASCIENCE2025ENGLISH:0.04:0.28;DEVOPS2025HINDI:0.91:0.36;GIT2025HINDI:0.01:0.27;NODEJS2025HINDI:0.26:0.19;AIML2025ENG:0.4:0.32,"DATA SCIENCE,DEVOPS"
User_900,PYTHON2025ENG:0.29:0.56;DEVOPS2025HINDI:0.31:0.35,"PROGRAMMING,LANGUAGES"
User_157,AIML2025ENG:0.2:0.88,"MOBILE,DEVOPS"
User_421,UIUXHINDI:0.25:0.17;NODEJS2025HINDI:0.72:0.31;PYTHONDATASCIENCE2025ENGLISH:0.09:0.87,"MOBILE,LANGUAGES,DESIGN"
User_782,PYTHONDATASCIENCE2025ENGLISH:0.98:0.72;UIUXHINDI:0.03:0.14;GIT2025ENG:0.36:0.87,"DATA SCIENCE,DESIGN,LANGUAGES"
User_250,PYTHON2025HINDI:0.66:0.12;PYTHON2025ENG:0.25:0.82;GIT2025HINDI:0.74:0.17,DEVOPS
User_552,,DEVELOPMENT
User_781,PYTHON2025ENG:0.58:0.87,PROGRAMMING
User_16,GIT2025ENG:0.62:0.77;PYTHONDATASCIENCE2025ENGLISH:0.11:0.42;NODEJS2025HINDI:0.11:0.5;UIUXHINDI:0.06:0.84,"PROGRAMMING,DATA SCIENCE"
User_263,GIT2025HINDI:0.57:0.03;FLUTTER2025EN:0.5:0.91;PYTHONDATASCIENCE2025ENGLISH:0.74:0.21;REACT2025HINDI:0.48:0.64;DEVOPS2025HINDI:0.38:0.4;PYTHON2025ENG:0.02:0.24;GIT2025ENG:0.59:0.25,"AI/ML,MOBILE"
User_113,FLUTTER2025EN:0.61:0.85,"DESIGN,LANGUAGES,DEVOPS"
User_720,FLUTTER2025EN:0.28:0.31;PYTHON2025HINDI:0.95:0.17;UIUXHINDI:0.94:0.08,DESIGN
User_725,PYTHON2025HINDI:0.74:0.96,"MOBILE,GIT AND GITHUB"
User_728,DEVOPS2025HINDI:0.63:0.89;PYTHON2025HINDI:0.48:0.28;PYTHONDATASCIENCE2025ENGLISH:0.08:0.59,AI/ML
User_479,PYTHON2025HINDI:0.02:0.18;REACT2025HINDI:0.39:0.15;NODEJS2025HINDI:0.99:0.0;GIT2025ENG:0.54:0.68;GIT2025HINDI:0.3:0.05;FLUTTER2025EN:0.61:0.34;DEVOPS2025HINDI:0.46:0.17;UIUXHINDI:0.49:0.93;AIML2025ENG:0.07:0.97,"LANGUAGES,DATA SCIENCE"
User_85,AIML2025ENG:0.61:0.89,"GIT AND GITHUB,LANGUAGES,MOBILE"
User_629,REACT2025HINDI:0.25:0.17;PYTHONDATASCIENCE2025ENGLISH:0.37:0.21;FLUTTER2025EN:0.25:0.44;DEVOPS2025HINDI:0.95:0.11;PYTHON2025ENG:0.69:1.0;NODEJS2025HINDI:0.35:0.78,"DATA SCIENCE,AI/ML,LANGUAGES"
User_398,FLUTTER2025EN:0.03:0.46;REACT2025HINDI:0.74:0.36;DEVOPS2025HINDI:0.22:0.74;AIML2025ENG:0.64:0.09,"DATA SCIENCE,MOBILE,DEVOPS"
User_494,PYTHON2025HINDI:0.65:0.07;NODEJS2025HINDI:0.84:0.0;FLUTTER2025EN:0.22:0.18;GIT2025ENG:0.55:0.83;DEVOPS2025HINDI:0.19:0.13;PYTHON2025ENG:0.12:0.46,"DESIGN,AI/ML,GIT AND GITHUB"
User_406,AIML2025ENG:0.95:0.59;DEVOPS2025HINDI:0.29:0.27;PYTHON2025ENG:0.3:0.12;FLUTTER2025EN:0.16:0.15;GIT2025ENG:0.33:0.13;NODEJS2025HINDI:0.82:0.03,"DEVOPS,AI/ML,GIT AND GITHUB"
User_203,PYTHON2025ENG:0.01:0.89;GIT2025ENG:0.46:0.97;NODEJS2025HINDI:0.27:0.57;UIUXHINDI:0.43:0.61;REACT2025HINDI:0.5:0.36,MOBILE
User_86,REACT2025HINDI:0.16:0.44;PYTHON2025ENG:0.96:0.94;GIT2025HINDI:0.52:0.41,"GIT AND GITHUB,LANGUAGES,DEVELOPMENT"
User_386,REACT2025HINDI:0.78:0.18;DEVOPS2025HINDI:0.63:0.05;GIT2025HINDI:0.01:0.24;FLUTTER2025EN:0.73:0.5;PYTHONDATASCIENCE2025ENGLISH:0.63:0.04;UIUXHINDI:0.73:0.6,"DEVOPS,GIT AND GITHUB,PROGRAMMING"
User_350,AIML2025ENG:0.75:0.67;FLUTTER2025EN:0.75:0.27;NODEJS2025HINDI:0.21:0.07,"DEVOPS,PROGRAMMING"
User_655,,"PROGRAMMING,DEVELOPMENT"
